===============================================================================
Id,nifty_1day_continous,len,datetime,open,high,low,close,volume,openinterest,adjclose,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
278,nifty_1day_continous,278,2008-02-28 23:59:59.999989,542763997.28,546525784.07,538723941.32,544696422.0,0.0,0.0,544696422.0,MyStrategy,278,733100.9999999999,Broker,278,10000.0,10000.0,BuySell,278,,,Trades - Net Profit/Loss,278,,
279,nifty_1day_continous,279,2008-02-29 23:59:59.999989,689905974.14,690663108.41,665540609.88,681877740.0,0.0,0.0,681877740.0,MyStrategy,279,733101.9999999999,Broker,279,10000.0,10000.0,BuySell,279,,,Trades - Net Profit/Loss,279,,
280,nifty_1day_continous,280,2008-03-03 23:59:59.999989,513375341.11,513375341.11,485189238.05,486855339.0,0.0,0.0,486855339.0,MyStrategy,280,733104.9999999999,Broker,280,10000.0,10000.0,BuySell,280,,,Trades - Net Profit/Loss,280,,
281,nifty_1day_continous,281,2008-03-04 23:59:59.999989,588973467.01,591129312.65,571679190.09,577772572.0,0.0,0.0,577772572.0,MyStrategy,281,733105.9999999999,Broker,281,10000.0,10000.0,BuySell,281,,,Trades - Net Profit/Loss,281,,
282,nifty_1day_continous,282,2008-03-05 23:59:59.999989,441673333.45,448016854.62,439894606.48,446623821.0,0.0,0.0,446623821.0,MyStrategy,282,733106.9999999999,Broker,282,10000.0,10000.0,BuySell,282,,,Trades - Net Profit/Loss,282,,
283,nifty_1day_continous,283,2008-03-07 23:59:59.999989,573190589.16,573190589.16,544515326.47,556093816.0,0.0,0.0,556093816.0,MyStrategy,283,733108.9999999999,Broker,283,10000.0,10000.0,BuySell,283,,,Trades - Net Profit/Loss,283,,
284,nifty_1day_continous,284,2008-03-10 23:59:59.999989,647456054.48,653858913.86,627453060.06,651883058.0,0.0,0.0,651883058.0,MyStrategy,284,733111.9999999999,Broker,284,10000.0,10000.0,BuySell,284,,,Trades - Net Profit/Loss,284,,
285,nifty_1day_continous,285,2008-03-11 23:59:59.999989,609827502.86,621550309.14,601760126.95,618676823.0,0.0,0.0,618676823.0,MyStrategy,285,733112.9999999999,Broker,285,10000.0,10000.0,BuySell,285,,,Trades - Net Profit/Loss,285,,
286,nifty_1day_continous,286,2008-03-12 23:59:59.999989,664335925.86,684724036.98,662289611.6,664642873.0,0.0,0.0,664642873.0,MyStrategy,286,733113.9999999999,Broker,286,10000.0,10000.0,BuySell,286,,,Trades - Net Profit/Loss,286,,
287,nifty_1day_continous,287,2008-03-13 23:59:59.999989,617005765.14,617018438.04,580438095.43,585944473.0,0.0,0.0,585944473.0,MyStrategy,287,733114.9999999999,Broker,287,10000.0,10000.0,BuySell,287,,,Trades - Net Profit/Loss,287,,
288,nifty_1day_continous,288,2008-03-14 23:59:59.999989,544460350.54,560374493.97,542546885.28,558826059.0,0.0,0.0,558826059.0,MyStrategy,288,733115.9999999999,Broker,288,10000.0,10000.0,BuySell,288,,,Trades - Net Profit/Loss,288,,
289,nifty_1day_continous,289,2008-03-17 23:59:59.999989,581064136.34,581064136.34,548817828.76,551389207.0,0.0,0.0,551389207.0,MyStrategy,289,733118.9999999999,Broker,289,10000.0,10000.0,BuySell,289,,,Trades - Net Profit/Loss,289,,
290,nifty_1day_continous,290,2008-03-18 23:59:59.999989,603569261.7,616662464.23,596712189.29,605318583.0,0.0,0.0,605318583.0,MyStrategy,290,733119.9999999999,Broker,290,10000.0,10000.0,BuySell,290,,,Trades - Net Profit/Loss,290,,
291,nifty_1day_continous,291,2008-03-19 23:59:59.999989,534158415.71,555790962.83,534058292.3,538775872.0,0.0,0.0,538775872.0,MyStrategy,291,733120.9999999999,Broker,291,10000.0,10000.0,BuySell,291,,,Trades - Net Profit/Loss,291,,
292,nifty_1day_continous,292,2008-03-24 23:59:59.999989,469228059.13,476676367.66,465434701.72,472616450.0,0.0,0.0,472616450.0,MyStrategy,292,733125.9999999999,Broker,292,10000.0,10000.0,BuySell,292,,,Trades - Net Profit/Loss,292,,
