open,high,low,close,volume
5328.15,5454.7,5328.15,5441.45,793990526
5438.9,5532.75,5424.25,5524.85,572054618
5525.3,5549.3,5402.6,5428.25,790491234
5428.35,5682.65,5419.9,5670.4,679385957
5670.65,5708.35,5578.45,5668.05,827783850
5658.9,5658.9,5107.3,5559.3,800411609
5551.1,5736.8,5269.65,5351.0,942968744
5360.35,5390.85,5101.75,5215.3,688377612
5202.75,5247.4,5070.9,5184.0,483426171
5185.3,5488.5,5176.85,5473.7,557134129
5477.6,5577.9,5419.4,5496.15,694125936
5499.05,5605.95,5469.3,5568.95,768894900
5564.25,5716.9,5513.35,5702.3,727015444
5708.9,5922.5,5708.9,5905.9,799529060
5917.55,5976.0,5833.9,5868.75,926841077
5868.9,5952.25,5861.3,5900.65,757984024
5903.8,6011.95,5837.2,5866.45,959389033
5854.85,5944.75,5714.25,5932.4,688805397
5931.9,5948.55,5819.6,5847.3,871540998
5847.1,5957.2,5759.95,5786.5,982067797
5782.4,5861.35,5744.3,5782.35,687889521
5779.3,5780.8,5646.75,5698.75,594712564
5703.45,5794.2,5614.9,5663.25,177709487
5660.6,5660.6,5477.5,5617.1,679934183
5612.35,5758.85,5591.6,5695.4,773325160
5703.95,5950.2,5700.05,5937.9,859584123
5913.15,5948.05,5817.4,5906.85,1023762404
5908.05,5981.8,5893.8,5907.65,968317757
5911.25,5923.7,5755.8,5780.9,1040961548
5778.8,5790.05,5530.85,5561.05,792916888
5564.65,5608.65,5394.35,5519.35,724206827
5524.3,5638.6,5514.75,5608.6,622524224
5611.3,5772.55,5608.95,5731.7,582066770
5729.25,5743.55,5655.6,5698.15,624021095
5699.55,5749.95,5595.5,5617.55,665949279
5617.8,5725.0,5612.1,5634.6,860840138
5633.9,5782.55,5632.65,5762.75,827587295
5765.45,5878.8,5754.6,5865.0,861757059
5870.2,5897.25,5840.3,5858.35,890346527
5861.9,5949.3,5859.95,5940.0,1047864568
5963.6,6042.1,5894.8,5974.3,921308907
5974.0,6015.3,5923.35,5960.6,860584215
5960.4,6111.2,5960.4,6097.25,885774061
6067.05,6175.65,6005.45,6159.3,832628680
6159.25,6185.4,6040.4,6058.1,959468643
6056.2,6078.55,6015.05,6047.7,863573375
6037.95,6039.95,5740.6,5777.0,989785708
5777.6,5874.6,5710.6,5742.3,861783424
5751.75,5799.5,5742.75,5766.5,659414399
5771.3,6001.05,5771.3,5985.1,560696220
5988.45,6085.25,5988.45,6070.75,625392095
6069.0,6110.85,6060.2,6081.5,996543572
6079.55,6098.6,6021.9,6079.7,771753740
6095.0,6167.75,6095.0,6138.6,889177748
6136.75,6165.35,6109.85,6144.35,819103705
