datetime,PP,R1,S1,R2,S2,R3,S3
2009-08-31,4586.433333333333,4819.416666666667,4429.116666666667,4976.7333333333345,4196.133333333333,5209.716666666667,4038.8166666666666
2009-09-30,4916.05,5255.5,4744.5,5427.050000000001,4405.05,5766.5,4233.5
2009-10-31,4860.383333333334,5033.266666666668,4538.816666666668,5354.833333333334,4365.933333333334,5527.716666666668,4044.3666666666686
2009-11-30,4903.066666666667,5267.633333333333,4668.133333333333,5502.566666666666,4303.566666666667,5867.133333333333,4068.633333333333
2009-12-31,5122.283333333333,5300.616666666666,5022.716666666665,5400.183333333333,4844.383333333332,5578.516666666666,4744.816666666665
2010-01-31,4986.3,5206.6,4661.75,5531.1500000000015,4441.45,5751.450000000001,4116.9
2010-02-28,4863.233333333334,5051.0666666666675,4734.466666666667,5179.833333333334,4546.633333333333,5367.666666666668,4417.866666666667
2010-03-31,5171.333333333334,5407.3166666666675,5013.116666666668,5565.533333333335,4777.133333333334,5801.516666666667,4618.916666666668
2010-04-30,5279.516666666666,5398.133333333333,5159.383333333333,5518.266666666666,5040.766666666666,5636.883333333333,4920.633333333333
2010-05-31,5050.483333333334,5314.516666666667,4822.266666666667,5542.7333333333345,4558.233333333334,5806.766666666667,4330.016666666667
2010-06-30,5213.433333333333,5465.816666666667,5060.116666666667,5619.133333333334,4807.733333333334,5871.516666666666,4654.416666666667
2010-07-31,5356.900000000001,5488.200000000001,5236.300000000001,5608.800000000001,5105.000000000001,5740.1,4984.4000000000015
2010-08-31,5433.7,5518.5,5317.599999999999,5634.6,5232.799999999999,5719.400000000001,5116.699999999999
2010-09-30,5835.5,6267.95,5597.5,6505.95,5165.05,6938.4,4927.05
2010-10-31,6079.633333333334,6222.166666666668,5875.166666666668,6426.633333333333,5732.633333333334,6569.166666666668,5528.166666666668
2010-11-30,5963.849999999999,6237.3499999999985,5589.199999999999,6611.999999999998,5315.7,6885.499999999998,4941.049999999999
2010-12-31,6000.983333333334,6280.8166666666675,5854.666666666667,6427.133333333333,5574.833333333333,6706.966666666668,5428.516666666666
2011-01-31,5701.2,5985.75,5221.349999999999,6465.6,4936.799999999999,6750.150000000001,4456.949999999999
2011-02-28,5370.066666666667,5562.433333333333,5140.883333333333,5791.616666666666,4948.516666666666,5983.983333333334,4719.333333333333
2011-03-31,5684.650000000001,6021.100000000001,5497.300000000001,6208.450000000002,5160.85,6544.9000000000015,4973.500000000001
2011-04-30,5795.733333333334,5898.216666666667,5647.016666666667,6046.933333333334,5544.533333333334,6149.416666666667,5395.8166666666675
2011-05-31,5554.7,5780.7,5334.15,6001.250000000001,5108.15,6227.25,4887.599999999999
2011-06-30,5500.399999999999,5804.899999999998,5342.899999999998,5962.4,5038.399999999999,6266.899999999998,4880.899999999998
2011-07-31,5557.7,5661.45,5378.25,5840.899999999999,5274.5,5944.65,5095.05
2011-08-31,5090.966666666666,5461.9333333333325,4630.033333333333,5922.866666666665,4259.066666666667,6293.833333333332,3798.133333333333
2011-09-30,4957.116666666667,5155.383333333333,4744.983333333334,5367.516666666666,4546.716666666667,5565.783333333333,4334.583333333334
2011-10-31,5138.383333333333,5548.466666666666,4916.516666666666,5770.333333333333,4506.433333333333,6180.416666666666,4284.566666666667
2011-11-30,4932.533333333333,5225.966666666665,4538.616666666666,5619.883333333333,4245.183333333333,5913.316666666665,3851.2666666666664
