===============================================================================
Id,testing,len,datetime,open,high,low,close,volume,openinterest,adjclose,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
92,testing,92,2007-05-25 23:59:59.999989,4197.85,4256.4,4141.35,4248.15,405751225.0,0.0,4248.15,MyStrategy,92,732821.9999999999,Broker,92,10000.0,10000.0,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,testing,93,2007-05-28 23:59:59.999989,4248.35,4295.6,4242.8,4256.55,437521836.0,0.0,4256.55,MyStrategy,93,732824.9999999999,Broker,93,10000.0,10000.0,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,testing,94,2007-05-29 23:59:59.999989,4257.6,4298.85,4248.9,4293.25,427433071.0,0.0,4293.25,MyStrategy,94,732825.9999999999,Broker,94,10000.0,10000.0,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,testing,95,2007-05-30 23:59:59.999989,4292.7,4301.6,4241.35,4249.65,454332850.0,0.0,4249.65,MyStrategy,95,732826.9999999999,Broker,95,10000.0,10000.0,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,testing,96,2007-06-01 23:59:59.999989,4296.05,4325.8,4288.55,4297.05,424663623.0,0.0,4297.05,MyStrategy,96,732828.9999999999,Broker,96,10000.0,10000.0,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,testing,97,2007-06-04 23:59:59.999989,4300.7,4362.95,4256.45,4267.05,396637536.0,0.0,4267.05,MyStrategy,97,732831.9999999999,Broker,97,10000.0,10000.0,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,testing,98,2007-06-05 23:59:59.999989,4268.9,4292.5,4249.1,4284.65,418626922.0,0.0,4284.65,MyStrategy,98,732832.9999999999,Broker,98,10000.0,10000.0,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,testing,99,2007-06-06 23:59:59.999989,4285.75,4324.1,4190.95,4198.25,478479006.0,0.0,4198.25,MyStrategy,99,732833.9999999999,Broker,99,10000.0,10000.0,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,testing,100,2007-06-07 23:59:59.999989,4197.6,4230.05,4130.5,4179.5,431064245.0,0.0,4179.5,MyStrategy,100,732834.9999999999,Broker,100,10000.0,10000.0,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,testing,101,2007-06-08 23:59:59.999989,4179.5,4195.15,4126.1,4145.0,411644788.0,0.0,4145.0,MyStrategy,101,732835.9999999999,Broker,101,10000.0,10000.0,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,testing,102,2007-06-11 23:59:59.999989,4183.75,4205.2,4134.95,4145.6,315465293.0,0.0,4145.6,MyStrategy,102,732838.9999999999,Broker,102,10000.0,10000.0,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,testing,103,2007-06-12 23:59:59.999989,4139.7,4166.85,4100.8,4155.2,337608484.0,0.0,4155.2,MyStrategy,103,732839.9999999999,Broker,103,10000.0,10000.0,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,testing,104,2007-06-13 23:59:59.999989,4155.2,4161.8,4102.95,4113.05,311057234.0,0.0,4113.05,MyStrategy,104,732840.9999999999,Broker,104,10000.0,10000.0,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,testing,105,2007-06-14 23:59:59.999989,4113.2,4174.05,4112.85,4170.0,312418312.0,0.0,4170.0,MyStrategy,105,732841.9999999999,Broker,105,10000.0,10000.0,BuySell,105,,,Trades - Net Profit/Loss,105,,
