datetime,open,high,low,close,volume,month-year,PP,R1,S1,R2,S2,R3,S3,rsi,ema,sma,UP_BB,MID_BB,LOW_BB
2007-02-20,4164.85,4175.45,4099.55,4106.95,372112098,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,50.57415118341411,4125.50336652317,4131.905000000001,4247.915688731632,4131.905000000001,4015.8943112683687
2007-02-21,4107.15,4132.8,4080.9,4096.2,438430887,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,49.564163521130425,4120.175481700776,4132.2075,4247.8119431455625,4132.2075,4016.6030568544384
2007-02-22,4096.65,4126.9,4023.15,4040.0,522165791,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,44.55467608753255,4105.598121391544,4129.085000000001,4250.940365495292,4129.085000000001,4007.22963450471
2007-02-23,4046.0,4065.45,3918.2,3938.95,524935570,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,37.26214839330916,4075.2984629567177,4122.7275,4268.068136007416,4122.7275,3977.3868639925845
2007-02-27,3948.05,3958.0,3873.85,3893.9,404244314,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,34.547320363433634,4042.3169242373147,4112.9275,4288.986059789153,4112.9275,3936.8689402108466
2007-02-28,3893.4,3893.4,3674.85,3745.3,566851862,2007-01,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334,27.444400961595377,3988.3138471032576,4092.8075000000003,4329.80017768226,4092.8075000000003,3855.8148223177404
2007-03-01,3745.4,3818.75,3718.15,3811.2,553669621,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,33.931741111331625,3956.1113294481197,4077.1450000000004,4343.311453370816,4077.1450000000004,3810.978546629185
2007-03-02,3811.65,3842.05,3711.05,3726.75,412833494,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,30.204661775649843,3914.4092695484615,4059.3475000000008,4366.148309117225,4059.3475000000008,3752.5466908827766
2007-03-05,3726.5,3726.65,3554.5,3576.5,411639707,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,24.953119668199296,3852.9712205396504,4031.312500000001,4400.634894223506,4031.312500000001,3661.9901057764955
2007-03-06,3577.15,3679.15,3576.65,3655.65,450037350,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,31.690839455207513,3817.094634986987,4004.9200000000005,4401.410895734065,4004.9200000000005,3608.4291042659365
2007-03-07,3661.55,3714.15,3568.55,3626.85,423758164,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,30.613818731224306,3782.5047013529893,3975.4950000000003,4391.9958234085625,3975.4950000000003,3558.994176591438
2007-03-08,3627.25,3779.5,3626.8,3761.65,424067032,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,40.76169230066555,3778.712937470628,3953.7825000000003,4367.325084596814,3953.7825000000003,3540.239915403187
2007-03-09,3761.85,3795.7,3684.25,3718.0,572289424,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,38.78367511406663,3767.6742215668773,3928.4700000000003,4334.601410260297,3928.4700000000003,3522.338589739704
2007-03-12,3717.45,3781.45,3713.9,3734.6,463261648,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,39.976583494207986,3761.660726736536,3904.030000000001,4294.765002783217,3904.030000000001,3513.2949972167853
2007-03-13,3735.25,3775.85,3717.15,3770.55,359892563,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,42.58594095454014,3763.276958238984,3883.1875000000014,4255.262591715359,3883.1875000000014,3511.112408284643
2007-03-14,3768.4,3768.4,3623.0,3641.1,342322027,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,36.44253409289169,3741.0629658318962,3862.3275000000017,4239.537931291318,3862.3275000000017,3485.1170687086856
2007-03-15,3644.9,3711.05,3630.55,3643.6,326846169,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,36.6326555680839,3723.3424265897333,3842.2800000000016,4221.235718257401,3842.2800000000016,3463.324281742602
2007-03-19,3611.3,3683.35,3602.85,3678.9,280959509,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,39.38961894318421,3715.2619853916,3823.8700000000013,4196.9652725511005,3823.8700000000013,3450.7747274489016
2007-03-20,3680.35,3725.0,3676.65,3697.6,300398192,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,40.85758537820454,3712.0507153204,3801.4400000000014,4147.268222677062,3801.4400000000014,3455.6117773229407
2007-03-21,3697.7,3771.2,3680.6,3764.55,273498339,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,45.9087315363879,3721.5960398076,3781.4400000000014,4084.589401450793,3781.4400000000014,3478.29059854921
2007-03-22,3764.5,3881.0,3764.5,3875.9,383697318,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,53.0854048882327,3749.6513052971272,3769.8875000000016,4038.1390701258315,3769.8875000000016,3501.635929874172
2007-03-26,3863.45,3885.45,3768.25,3819.95,332777600,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,49.5294665836864,3762.432886152195,3756.0750000000016,3980.5767717078725,3756.0750000000016,3531.573228292131
2007-03-28,3818.75,3830.3,3752.95,3761.1,386850213,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,46.0363653587759,3762.190543215432,3742.130000000002,3925.175246865254,3742.130000000002,3559.08475313475
2007-03-29,3759.15,3805.85,3750.35,3798.1,471319424,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,48.495772005088234,3768.719535358081,3735.0875000000024,3896.9086385293745,3735.0875000000024,3573.2663614706303
2007-03-30,3788.85,3832.2,3785.3,3821.55,352593189,2007-02,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667,50.04956871610875,3778.3250743838844,3731.4700000000025,3881.751756710318,3731.4700000000025,3581.188243289687
2007-04-02,3820.0,3820.0,3617.0,3633.6,324897170,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,39.70937766500322,3752.0114244959054,3725.885000000003,3881.8891380858913,3725.885000000003,3569.8808619141146
2007-04-03,3633.85,3703.05,3632.2,3690.65,310705061,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,43.523494912676625,3740.8548018602864,3719.857500000003,3871.46402781108,3719.857500000003,3568.2509721889255
2007-04-04,3689.75,3751.4,3689.75,3733.25,309387456,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,46.25750870446588,3739.472110612962,3720.1825000000026,3871.874580462159,3720.1825000000026,3568.4904195378463
2007-04-05,3735.2,3771.45,3709.15,3752.0,423126698,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,47.463028314866655,3741.7499086833323,3728.9575000000027,3865.9831299928464,3728.9575000000027,3591.931870007159
2007-04-09,3752.9,3850.9,3747.25,3843.5,342598395,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,53.00326909346686,3760.2499252863627,3738.350000000003,3879.6735507618146,3738.350000000003,3597.0264492381916
2007-04-10,3844.15,3858.35,3819.3,3848.15,394249580,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,53.27294895681845,3776.2317570524788,3749.4150000000022,3888.725326609153,3749.4150000000022,3610.1046733908515
2007-04-11,3848.35,3876.35,3844.75,3862.65,380504123,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,54.15635375808394,3791.944164861119,3754.4650000000024,3902.248121837192,3754.4650000000024,3606.681878162813
2007-04-12,3861.85,3861.85,3811.25,3829.85,342937224,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,51.7719676764851,3798.83613488637,3760.0575000000026,3910.3418547243996,3760.0575000000026,3609.7731452756057
2007-04-13,3830.35,3924.55,3828.45,3917.35,367911896,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,57.187228701145486,3820.3841103615755,3769.1950000000024,3933.7245745449154,3769.1950000000024,3604.6654254550895
