datetime,open,high,low,volume,close
2007-08-17,4171.1,4171.1,4002.2,664719837,4108.05
2007-08-20,4108.95,4262.6,4108.95,466498293,4209.05
2007-08-21,4209.55,4238.1,4058.55,654574138,4074.9
2007-08-22,4081.25,4165.7,4040.15,526899713,4153.15
2007-08-23,4160.1,4249.85,4100.8,544433457,4114.95
2007-08-24,4113.05,4201.45,4110.05,379447993,4190.15
2007-08-27,4193.6,4310.0,4193.6,372801388,4302.6
2007-08-28,4302.4,4329.15,4280.6,410972246,4320.7
2007-08-29,4317.7,4368.6,4226.35,519769431,4359.3
2007-08-30,4360.35,4422.3,4359.75,617174328,4412.3
2007-08-31,4412.6,4471.3,4403.0,599641647,4464.0
2007-09-03,4466.65,4490.55,4452.4,618925437,4474.75
2007-09-04,4481.55,4501.3,4460.4,602861876,4479.25
2007-09-05,4479.6,4507.75,4458.55,532455011,4475.85
2007-09-06,4475.7,4522.5,4445.55,494735016,4518.6
2007-09-07,4518.65,4547.75,4499.9,509107821,4509.5
2007-09-10,4506.85,4515.25,4452.95,505568862,4507.85
2007-09-11,4509.65,4538.6,4487.15,603590208,4497.05
2007-09-12,4498.65,4531.5,4490.4,621081930,4496.85
2007-09-13,4498.05,4540.6,4498.05,574967845,4528.95
2007-09-14,4530.0,4582.6,4508.85,614962436,4518.0
2007-09-17,4518.45,4549.05,4482.85,481724644,4494.65
2007-09-18,4494.1,4551.8,4481.55,548134123,4546.2
2007-09-19,4550.25,4739.0,4550.25,687929907,4732.35
2007-09-20,4734.85,4760.85,4721.15,676821365,4747.55
2007-09-21,4752.95,4855.7,4733.7,1014615209,4837.55
2007-09-24,4837.15,4941.15,4837.15,1125604517,4932.2
2007-09-25,4939.1,4953.9,4878.15,1095581617,4938.85
2007-09-26,4937.6,4980.85,4930.35,1135297587,4940.5
2007-09-27,4942.7,5016.4,4942.7,1017044877,5000.55
2007-09-28,4996.45,5055.8,4996.45,918675210,5021.35
2007-10-01,5021.5,5089.3,5001.35,793686767,5068.95
2007-10-03,5069.0,5261.35,5034.15,987419895,5210.8
2007-10-04,5211.65,5233.1,5126.05,762791451,5208.65
2007-10-05,5208.15,5248.55,5164.5,1130699538,5185.85
2007-10-08,5186.25,5249.3,5024.75,752064888,5085.1
2007-10-09,5062.65,5348.7,5000.95,857454137,5327.25
2007-10-10,5328.15,5454.7,5328.15,793990526,5441.45
2007-10-11,5438.9,5532.75,5424.25,572054618,5524.85
2007-10-12,5525.3,5549.3,5402.6,790491234,5428.25
2007-10-15,5428.35,5682.65,5419.9,679385957,5670.4
2007-10-16,5670.65,5708.35,5578.45,827783850,5668.05
2007-10-17,5658.9,5658.9,5107.3,800411609,5559.3
2007-10-18,5551.1,5736.8,5269.65,942968744,5351.0
2007-10-19,5360.35,5390.85,5101.75,688377612,5215.3
2007-10-22,5202.75,5247.4,5070.9,483426171,5184.0
2007-10-23,5185.3,5488.5,5176.85,557134129,5473.7
2007-10-24,5477.6,5577.9,5419.4,694125936,5496.15
2007-10-25,5499.05,5605.95,5469.3,768894900,5568.95
2007-10-26,5564.25,5716.9,5513.35,727015444,5702.3
2007-10-29,5708.9,5922.5,5708.9,799529060,5905.9
2007-10-30,5917.55,5976.0,5833.9,926841077,5868.75
2007-10-31,5868.9,5952.25,5861.3,757984024,5900.65
2007-11-01,5903.8,6011.95,5837.2,959389033,5866.45
2007-11-02,5854.85,5944.75,5714.25,688805397,5932.4
2007-11-05,5931.9,5948.55,5819.6,871540998,5847.3
2007-11-06,5847.1,5957.2,5759.95,982067797,5786.5
2007-11-07,5782.4,5861.35,5744.3,687889521,5782.35
2007-11-08,5779.3,5780.8,5646.75,594712564,5698.75
2007-11-09,5703.45,5794.2,5614.9,177709487,5663.25
2007-11-12,5660.6,5660.6,5477.5,679934183,5617.1
2007-11-13,5612.35,5758.85,5591.6,773325160,5695.4
2007-11-14,5703.95,5950.2,5700.05,859584123,5937.9
2007-11-16,5913.15,5948.05,5817.4,1023762404,5906.85
2007-11-19,5908.05,5981.8,5893.8,968317757,5907.65
2007-11-20,5911.25,5923.7,5755.8,1040961548,5780.9
2007-11-21,5778.8,5790.05,5530.85,792916888,5561.05
2007-11-22,5564.65,5608.65,5394.35,724206827,5519.35
2007-11-23,5524.3,5638.6,5514.75,622524224,5608.6
2007-11-26,5611.3,5772.55,5608.95,582066770,5731.7
2007-11-27,5729.25,5743.55,5655.6,624021095,5698.15
2007-11-28,5699.55,5749.95,5595.5,665949279,5617.55
2007-11-29,5617.8,5725.0,5612.1,860840138,5634.6
2007-11-30,5633.9,5782.55,5632.65,827587295,5762.75
2007-12-03,5765.45,5878.8,5754.6,861757059,5865.0
2007-12-04,5870.2,5897.25,5840.3,890346527,5858.35
2007-12-05,5861.9,5949.3,5859.95,1047864568,5940.0
2007-12-07,5963.6,6042.1,5894.8,921308907,5974.3
2007-12-10,5974.0,6015.3,5923.35,860584215,5960.6
2007-12-11,5960.4,6111.2,5960.4,885774061,6097.25
2007-12-12,6067.05,6175.65,6005.45,832628680,6159.3
2007-12-13,6159.25,6185.4,6040.4,959468643,6058.1
2007-12-14,6056.2,6078.55,6015.05,863573375,6047.7
2007-12-17,6037.95,6039.95,5740.6,989785708,5777.0
2007-12-18,5777.6,5874.6,5710.6,861783424,5742.3
2007-12-20,5751.75,5799.5,5742.75,659414399,5766.5
2007-12-24,5771.3,6001.05,5771.3,560696220,5985.1
2007-12-26,5988.45,6085.25,5988.45,625392095,6070.75
2007-12-27,6069.0,6110.85,6060.2,996543572,6081.5
2007-12-28,6079.55,6098.6,6021.9,771753740,6079.7
2007-12-31,6095.0,6167.75,6095.0,889177748,6138.6
2008-01-01,6136.75,6165.35,6109.85,819103705,6144.35
2008-01-02,6144.7,6197.0,6060.85,1061386294,6179.4
2008-01-03,6184.25,6230.15,6126.4,1053655542,6178.55
2008-01-04,6179.1,6300.05,6179.1,978921894,6274.3
2008-01-07,6271.0,6289.8,6193.35,921091271,6279.1
2008-01-08,6282.45,6357.1,6221.6,962244911,6287.85
2008-01-09,6287.55,6338.3,6231.25,753589078,6272.0
2008-01-10,6278.1,6347.0,6142.9,693037979,6156.95
2008-01-11,6166.65,6224.2,6112.55,638224383,6200.1
2008-01-14,6208.8,6244.15,6172.0,585621947,6206.8
2008-01-15,6226.35,6260.45,6053.3,599041935,6074.25
2008-01-16,6065.0,6065.0,5825.75,622360699,5935.75
2008-01-17,5937.95,6013.15,5880.3,663718440,5913.2
2008-01-18,5907.75,5908.75,5677.0,594182374,5705.3
2008-01-21,5705.0,5705.0,4977.1,825585187,5208.8
2008-01-22,5203.35,5203.35,4448.5,801391684,4899.3
2008-01-23,4903.05,5328.05,4891.6,774433117,5203.4
2008-01-24,5208.0,5357.2,4995.8,701282291,5033.45
2008-01-25,5035.05,5399.25,5035.05,514469597,5383.35
2008-01-28,5380.95,5380.95,5071.0,434851296,5274.1
2008-01-29,5279.55,5391.6,5225.25,484636697,5280.8
2008-01-30,5283.75,5314.3,5142.25,421584632,5167.6
2008-01-31,5172.25,5251.65,5071.15,777639229,5137.45
2008-02-01,5140.6,5339.95,5090.75,468104581,5317.25
2008-02-04,5315.55,5545.2,5315.55,503121355,5463.5
2008-02-05,5463.75,5500.6,5412.95,512493541,5483.9
2008-02-07,5322.55,5344.6,5113.85,684810030,5133.25
2008-02-08,5132.1,5173.85,5034.25,570884956,5120.35
2008-02-11,5120.55,5126.4,4803.6,649664235,4857.0
2008-02-12,4877.85,4949.6,4820.45,519778843,4838.25
2008-02-13,4836.55,4986.55,4836.55,503244606,4929.45
2008-02-14,4944.65,5220.25,4944.65,549901391,5202.0
2008-02-15,5202.85,5315.4,5104.75,608866778,5302.9
2008-02-18,5304.45,5348.6,5224.0,518304527,5276.9
2008-02-19,5278.4,5368.45,5262.0,533549844,5280.8
2008-02-20,5267.15,5267.15,5116.3,476047213,5154.45
2008-02-21,5156.9,5241.35,5120.05,499674330,5191.8
2008-02-22,5183.4,5184.0,5092.8,428354151,5110.75
2008-02-25,5112.25,5212.35,5055.15,462958099,5200.7
2008-02-27,5271.4,5368.15,5249.75,513372650,5268.4
2008-02-28,5266.35,5302.85,5227.15,544696422,5285.1
2008-02-29,5285.0,5290.8,5098.35,681877740,5223.5
2008-03-03,5222.8,5222.8,4936.05,486855339,4953.0
2008-03-04,4958.55,4976.7,4812.95,577772572,4864.25
2008-03-05,4866.85,4936.75,4847.25,446623821,4921.4
2008-03-07,4918.3,4918.3,4672.25,556093816,4771.6
2008-03-10,4767.8,4814.95,4620.5,651883058,4800.4
2008-03-11,4796.3,4888.5,4732.85,618676823,4865.9
2008-03-12,4869.75,5019.2,4854.75,664642873,4872.0
2008-03-13,4868.7,4868.8,4580.15,585944473,4623.6
2008-03-14,4623.8,4758.95,4607.55,558826059,4745.8
2008-03-17,4745.45,4745.45,4482.1,551389207,4503.1
2008-03-18,4519.9,4617.95,4468.55,605318583,4533.0
2008-03-19,4534.75,4718.4,4533.9,538775872,4573.95
2008-03-24,4576.8,4649.45,4539.8,472616450,4609.85
2008-03-25,4616.8,4896.8,4616.8,609944745,4877.5
2008-03-26,4878.7,4912.3,4808.65,542754727,4828.85
2008-03-27,4828.8,4863.75,4769.6,612895692,4830.25
2008-03-28,4830.0,4970.8,4796.35,582950780,4942.0
2008-03-31,4942.15,4947.0,4703.85,596472000,4734.5
2008-04-01,4735.65,4800.75,4628.75,392119158,4739.55
2008-04-02,4741.4,4916.75,4741.4,410657952,4754.2
2008-04-03,4753.9,4833.25,4738.2,453972153,4771.6
2008-04-07,4631.35,4798.55,4628.8,497196633,4761.2
2008-04-08,4760.65,4769.55,4677.8,456601998,4709.65
2008-04-09,4707.05,4758.25,4667.5,484039277,4747.05
2008-04-10,4747.55,4799.5,4720.9,511227288,4733.0
2008-04-11,4734.35,4817.4,4727.25,432507177,4777.8
2008-04-15,4779.95,4917.1,4708.3,540898672,4879.65
2008-04-16,4881.65,4951.4,4874.05,631102848,4887.3
2008-04-17,4890.6,4984.95,4889.65,748765257,4958.4
2008-04-21,4955.9,5053.4,4955.9,617673949,5037.0
2008-04-22,5037.05,5074.25,4994.05,753721358,5049.3
2008-04-23,5044.35,5083.5,5003.55,787290211,5022.8
2008-04-24,5022.9,5072.7,4991.35,696462855,4999.85
2008-04-25,4999.15,5117.7,4999.15,614344486,5111.7
2008-04-28,5112.5,5147.45,5079.15,556366109,5089.65
2008-04-29,5092.4,5210.9,5082.15,716869505,5195.5
2008-04-30,5198.35,5230.75,5155.85,655784268,5165.9
2008-05-02,5265.3,5298.85,5197.6,623121004,5228.2
2008-05-06,5192.35,5206.5,5110.9,622035195,5144.65
2008-05-07,5156.7,5159.05,5101.25,560530472,5135.5
2008-05-08,5135.8,5143.05,5062.45,496181912,5081.7
2008-05-13,5008.6,5066.0,4943.75,605486919,4957.8
2008-05-14,4958.45,5026.1,4932.05,505978817,5011.75
2008-05-15,5010.9,5118.55,4999.6,518821142,5115.25
2008-05-16,5115.65,5167.4,5106.4,553208988,5157.7
2008-05-20,5157.0,5160.05,5072.4,526598332,5104.95
2008-05-21,5105.7,5135.55,5048.7,656335041,5117.65
2008-05-22,5117.0,5118.9,5010.7,645432714,5025.45
2008-05-23,5026.55,5059.05,4940.7,548707503,4946.55
2008-05-26,4953.6,4953.6,4858.0,441769059,4875.05
2008-05-27,4877.15,4932.0,4846.2,490034398,4859.8
2008-05-28,4862.7,4926.9,4835.65,568517296,4918.35
2008-06-03,4739.3,4739.3,4634.0,542167443,4715.9
2008-06-04,4718.7,4731.5,4564.5,558860324,4585.6
